owner,nftMint,stakedDate
CSpFHd4pvMrDcMb49WoUktaPdZtz7RfyQCof7FunDSZL,GpkQXZF21i5xYwM77iCZVevnHSekdFbHvtnAqnFyXwMp,1699788914
6DVPDHHa4nfovLonTQadmcJWiUCBKTcWiJNojUSFewe9,7YQeQaT8zGDyJ8Tkjot5YUZ6CbJRQ6kFWCu4mKy4KGSc,1699648852
DkdeLh9L6xkgfgsWZS8SpxRPsM58FfTVkBntWLD8R5Uj,7Zt1C8zMfQQXi1WDFX3Up85j6QyZNahJu11dCHnrdsAg,1694348452
ECfPgahGB8jiskm93bJmc4bXpeSmVWtswWhU91F5Z1XX,3EaauHXDJ6vWFWgzNgzGMbfVN6CNdqmjKVzmZBiDQyzr,1699750412
DgzWqku67fPeuWgmyZbNa7U7yicKRhbjM7nB86Yx2ojQ,AXofZkWoF8znaKhktckeiyc5pqswrGs8eTFxhCS3f5a1,1699801858
6SDdyx6HaNvgaJMtjgm292NoDucuwZqAhD2fajNmRq56,Eb4JqbQcNn7oc1EP3xdry1ZtEsLUCaWjsX8Vg15ziL78,1699453361
BZGJVp65x4DHSSCBdwQi6VDvpSGPwPDoR5zEjJG37XJE,7eonjCWiYF3xdeuKDxTEXWDv8gYWhzotot6AXKGgoo1d,1693508757
8SKisd77dkXDxbHmhQbrkp6mjnKcwL5hYPqh9Yr8isvh,Gt1ir6n7uYQSHsyUhomHoeuYL7FC1aBNxzLoTTuHAKCz,1699288976
E4MNRP6zqgKQuoFmJEudtxwJN9f9y7gyQqi18TxmSSNK,CA32pMswXMJideYeUGVZ6TSjEhespARUbHTd7bwXSTzK,1699644017
BZg1AW8Cu8wkheqirrnK3ro9EemAuBYLnfrvvrLWpYWN,Gp79CXzwZ9kVxHRpUJu5kM9WLS2P3qMCVPCWr3gpvYHV,1699811518
B5i5jm3irk3yG1Fjh44NPZc1VTKcu2DLutGL2U6dAaGS,Asg7g4qeDrfKuYzYHx7NoX2yg3P4DQ1ajuMfCFn97Maw,1693575274
8B6D8a1BFYPxXNJExTAkcjyL3dTUodcAcZJBbjV9v61d,ECRBgsMb67SeAKEndqnxQYKxuR96jFg9XX43JcfXJuo9,1699754376
8B6D8a1BFYPxXNJExTAkcjyL3dTUodcAcZJBbjV9v61d,7zRjkbnvamDB3xiZRrBUyH8zX4d99ymLityrEjMRuSDB,1699754376
